2019-09-12 18:40:14.362202	策略初始化完成
2019-09-12 18:40:14.362224	开始回放历史数据
Keep Low=> total_count=4, avg_price_diff=67, total_volume_a=1321458.0, total_volume_b=293349.0
Keep Low=> total_count=12, avg_price_diff=25, total_volume_a=4598781.0, total_volume_b=2030753.0
Keep Low=> total_count=4, avg_price_diff=75, total_volume_a=1257710.0, total_volume_b=410971.0
Keep Low=> total_count=1, avg_price_diff=92, total_volume_a=144209.0, total_volume_b=550583.0
Keep Low=> total_count=1, avg_price_diff=82, total_volume_a=1776907.0, total_volume_b=99004.0
Keep Low=> total_count=1, avg_price_diff=91, total_volume_a=957884.0, total_volume_b=110696.0
Keep Low=> total_count=1, avg_price_diff=86, total_volume_a=342296.0, total_volume_b=643025.0
Keep Low=> total_count=2, avg_price_diff=-71, total_volume_a=940605.0, total_volume_b=3395153.0
Keep Low=> total_count=1, avg_price_diff=90, total_volume_a=697165.0, total_volume_b=294859.0
Keep High=> total_count=1, avg_price_diff=311, total_volume_a=179671.0, total_volume_b=369532.0
Keep High=> total_count=1, avg_price_diff=301, total_volume_a=464986.0, total_volume_b=123076.0
Keep High=> total_count=1, avg_price_diff=309, total_volume_a=230011.0, total_volume_b=211683.0
Keep High=> total_count=1, avg_price_diff=304, total_volume_a=9070.0, total_volume_b=37588.0
Keep High=> total_count=2, avg_price_diff=312, total_volume_a=127483.0, total_volume_b=174980.0
Keep High=> total_count=3, avg_price_diff=313, total_volume_a=1128215.0, total_volume_b=1716794.0
Keep High=> total_count=1, avg_price_diff=306, total_volume_a=43107.0, total_volume_b=96077.0
Keep High=> total_count=3, avg_price_diff=303, total_volume_a=97767.0, total_volume_b=58930.0
Keep High=> total_count=19, avg_price_diff=322, total_volume_a=1319332.0, total_volume_b=2660985.0
Keep High=> total_count=1, avg_price_diff=301, total_volume_a=111281.0, total_volume_b=454108.0
Keep High=> total_count=1, avg_price_diff=324, total_volume_a=2441770.0, total_volume_b=866196.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=6254.0, total_volume_b=9359.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=78505.0, total_volume_b=194.0
Keep Low=> total_count=1, avg_price_diff=89, total_volume_a=1201.0, total_volume_b=100.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=272164.0, total_volume_b=65629.0
Keep Low=> total_count=1, avg_price_diff=69, total_volume_a=350844.0, total_volume_b=763051.0
Keep Low=> total_count=1, avg_price_diff=90, total_volume_a=146924.0, total_volume_b=128835.0
Keep Low=> total_count=2, avg_price_diff=95, total_volume_a=900241.0, total_volume_b=340709.0
Keep Low=> total_count=37, avg_price_diff=87, total_volume_a=4513103.0, total_volume_b=3560547.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=126050.0, total_volume_b=88217.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=73545.0, total_volume_b=56351.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=159286.0, total_volume_b=24945.0
Keep Low=> total_count=3, avg_price_diff=93, total_volume_a=1015968.0, total_volume_b=316070.0
Keep Low=> total_count=4, avg_price_diff=92, total_volume_a=457828.0, total_volume_b=307311.0
Keep Low=> total_count=5, avg_price_diff=84, total_volume_a=160082.0, total_volume_b=684395.0
Keep Low=> total_count=3, avg_price_diff=97, total_volume_a=212599.0, total_volume_b=86498.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=116718.0, total_volume_b=13766.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=96018.0, total_volume_b=28929.0
Keep Low=> total_count=2, avg_price_diff=98, total_volume_a=143079.0, total_volume_b=89301.0
Keep Low=> total_count=5, avg_price_diff=97, total_volume_a=872121.0, total_volume_b=246843.0
